chapter_id	chapter_title	authority_tier	manual_treatment	relative_path	expected_sha256	actual_sha256	hash_status	source_mode	extraction_method	extraction_status	character_count	word_count	output_path	note
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Naming_History/PHASE3C_NAMING_CHANGE_LOG.md	adda533db7e29f86a39f97c517ad9afd47337b6b5edda11571d57f0895923b23	adda533db7e29f86a39f97c517ad9afd47337b6b5edda11571d57f0895923b23	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	19429	1471	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/adda533db7e2__PHASE3C_NAMING_CHANGE_LOG.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Naming_History/PHASE3C_NAMING_PROPOSAL.md	9a0a1bfc7a1c3867fa6eea536e7ec288bbec4a0e1289333976d6f025b24fe811	9a0a1bfc7a1c3867fa6eea536e7ec288bbec4a0e1289333976d6f025b24fe811	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	18056	1931	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/9a0a1bfc7a1c__PHASE3C_NAMING_PROPOSAL.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Naming_History/PHASE3C_NAMING_VALIDATION_REPORT.md	02e3c811b70d3fb0b4f92e784b499093de190dd4c0992987f7da8739bc307353	02e3c811b70d3fb0b4f92e784b499093de190dd4c0992987f7da8739bc307353	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	21901	1757	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/02e3c811b70d__PHASE3C_NAMING_VALIDATION_REPORT.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Original_Project_gitignore.txt	2b6e0de1dd86ba1295c97310b94d4219fff9918576dfd1d750657b696d85afe8	2b6e0de1dd86ba1295c97310b94d4219fff9918576dfd1d750657b696d85afe8	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	474	46	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/2b6e0de1dd86__Original_Project_gitignore.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Original_Repository_README.md	3ee6a965e08443bd8af139f01dbe92794e35af5f7888fd85ba1d6bcea27e7a4f	3ee6a965e08443bd8af139f01dbe92794e35af5f7888fd85ba1d6bcea27e7a4f	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	3408	317	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/3ee6a965e084__Original_Repository_README.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/PHASE3C_NAMING_FINALIZATION_LOG.md	beee446e6c6e73fa932c50e08812c4c51ca670a367cb02badc40860667a49a0c	beee446e6c6e73fa932c50e08812c4c51ca670a367cb02badc40860667a49a0c	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	4021	509	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/beee446e6c6e__PHASE3C_NAMING_FINALIZATION_LOG.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/AUTHORITY_MAP.md	cda01b77e280ffd911540c5a78ad5dda294f12f1f3054888a14950f5fb1b4f5a	cda01b77e280ffd911540c5a78ad5dda294f12f1f3054888a14950f5fb1b4f5a	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	1290	157	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/cda01b77e280__AUTHORITY_MAP.md	Reused hash-verified Stage 10B extract.
02	Research Methodology and Phase History	TIER_4	HISTORICAL_NARRATIVE	02_PHASE_HISTORY/HISTORICAL_RESEARCH_INDEX.md	b9c9e1b25cbbbe9972169c884af02e5385d54a7d74f4d87f0e6c9ce73b2e410e	b9c9e1b25cbbbe9972169c884af02e5385d54a7d74f4d87f0e6c9ce73b2e410e	HASH_VERIFIED	NEW_STAGE10C_EXTRACTION	PLAIN_TEXT	EXTRACTED	867	122	08_MASTER_MANUAL/05_Source_Extraction/02_Opening_and_Decision/02/b9c9e1b25cbb__HISTORICAL_RESEARCH_INDEX.md	Full source text extracted without synthesis.
02	Research Methodology and Phase History	TIER_4	HISTORICAL_NARRATIVE	02_PHASE_HISTORY/PHASE_HISTORY_INDEX.md	cdd41810faba5c55718bbe34e1b67b825dfe03a250066cbe5c5e9a2ea9c3638d	cdd41810faba5c55718bbe34e1b67b825dfe03a250066cbe5c5e9a2ea9c3638d	HASH_VERIFIED	NEW_STAGE10C_EXTRACTION	PLAIN_TEXT	EXTRACTED	647	85	08_MASTER_MANUAL/05_Source_Extraction/02_Opening_and_Decision/02/cdd41810faba__PHASE_HISTORY_INDEX.md	Full source text extracted without synthesis.
02	Research Methodology and Phase History	TIER_4	HISTORICAL_NARRATIVE	02_PHASE_HISTORY/Phase_1/Phase_1A_Opportunity_Discovery/Phase1A_Memory.md	5a8943e1e556e1db0644cc7b75e2b4c8000b1a9506d673406c9c70cf7bb4a213	5a8943e1e556e1db0644cc7b75e2b4c8000b1a9506d673406c9c70cf7bb4a213	HASH_VERIFIED	NEW_STAGE10C_EXTRACTION	PLAIN_TEXT	EXTRACTED	4015	553	08_MASTER_MANUAL/05_Source_Extraction/02_Opening_and_Decision/02/5a8943e1e556__Phase1A_Memory.md	Full source text extracted without synthesis.
